sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
5,780843,31.172104,9.120162,36.501785,7934.540039,sanitizer
6,780898,31.009937,9.117126,36.378918,9329.446289,sanitizer
7,780953,30.883307,9.118487,36.138401,15180.265625,sanitizer
0,783568,30.534969,9.117102,39.563084,9353.990234,sanitizer
1,783622,30.511637,9.11714,40.006149,13619.918945,sanitizer
2,783677,30.743908,9.119414,38.39233,9362.200195,sanitizer
3,783732,30.849325,9.119297,38.39867,9828.009766,sanitizer
4,783788,31.478222,9.12129,36.042641,9800.918945,sanitizer
5,783843,31.215042,9.12016,36.423946,10970.174805,sanitizer
6,783898,31.009937,9.117196,36.15733,12989.648438,sanitizer
7,783953,30.916494,9.11861,35.943493,22168.341797,sanitizer
0,786568,30.522409,9.117214,39.235886,7952.286133,sanitizer
1,786622,30.50909,9.117399,39.755615,10825.439453,sanitizer
2,786677,30.728714,9.119161,38.165955,10526.31543,sanitizer
3,786732,30.84174,9.119291,38.257099,9738.283203,sanitizer
4,786788,31.480743,9.121166,35.943855,10803.510742,sanitizer
5,786843,31.217566,9.120023,36.247929,12864.321289,sanitizer
6,786898,31.04517,9.117107,36.026989,14578.587891,sanitizer
7,786953,30.93692,9.118594,35.753323,25406.908203,sanitizer
0,789568,30.565119,9.117263,39.762226,5684.846191,sanitizer
1,789622,30.539642,9.117335,40.271877,5715.306152,sanitizer
2,789677,30.761637,9.11925,38.542282,5684.846191,sanitizer
3,789732,30.884729,9.119391,38.625652,5684.846191,sanitizer
4,789788,31.498398,9.121049,36.062206,7761.338867,sanitizer
5,789843,31.227671,9.119967,36.360603,9014.084961,sanitizer
6,789898,31.042652,9.117106,36.026733,10272.873047,sanitizer
7,789953,30.942026,9.118652,35.736374,15693.967773,sanitizer
0,792568,30.615366,9.117525,40.846073,5684.846191,sanitizer
1,792622,30.57019,9.117233,41.293869,5684.846191,sanitizer
2,792677,30.81229,9.119505,39.617706,5684.846191,sanitizer
3,792732,30.925192,9.119718,39.608459,5684.846191,sanitizer
4,792788,31.523615,9.121186,36.77169,5684.846191,sanitizer
5,792843,31.265554,9.120085,37.130459,5684.846191,sanitizer
6,792898,31.060268,9.117157,36.518436,6302.93457,sanitizer
7,792953,30.957342,9.118526,36.362198,10914.051758,sanitizer
0,795568,30.645514,9.117456,41.658337,5684.846191,sanitizer
1,795622,30.600742,9.117468,41.947727,5693.950195,sanitizer
2,795677,30.832554,9.11947,40.6189,5684.846191,sanitizer
3,795732,30.932779,9.119492,40.635197,5684.846191,sanitizer
4,795788,31.556396,9.121326,37.549923,5684.846191,sanitizer
5,795843,31.31102,9.120302,37.8041,5684.846191,sanitizer
6,795898,31.110601,9.117276,37.185181,5684.846191,sanitizer
7,795953,31.00585,9.118379,36.976433,7441.860352,sanitizer
0,798568,30.655563,9.117621,40.504345,7970.112305,sanitizer
1,798622,30.590557,9.117156,40.76815,12160.365234,sanitizer
2,798677,30.830021,9.119452,39.828537,6439.927734,sanitizer
3,798732,30.935307,9.119423,39.875824,6583.007812,sanitizer
4,798788,31.5917,9.121272,38.19046,5684.846191,sanitizer
5,798843,31.343853,9.120372,38.443554,5684.846191,sanitizer
6,798898,31.186102,9.117384,38.181889,5684.846191,sanitizer
7,798953,31.069675,9.118441,38.137772,5684.846191,sanitizer
0,801568,30.655563,9.117358,39.469742,10947.65625,sanitizer
1,801622,30.598194,9.117112,39.872765,15399.422852,sanitizer
2,801677,30.840149,9.119216,38.9958,9176.943359,sanitizer
3,801732,30.932779,9.119492,39.113472,8968.610352,sanitizer
4,801788,31.609354,9.121441,38.541302,5684.846191,sanitizer
5,801843,31.366583,9.120575,38.672489,5684.846191,sanitizer
6,801899,31.206234,9.117788,39.006725,5684.846191,sanitizer
7,801953,31.100311,9.118807,38.893711,6087.12207,sanitizer
0,804568,30.655563,9.117569,39.037613,6562.756348,sanitizer
1,804622,30.610922,9.117605,39.582458,8976.157227,sanitizer
2,804677,30.870541,9.119704,38.435677,7220.216797,sanitizer
3,804732,30.947952,9.119662,38.626671,6211.180176,sanitizer
4,804788,31.61944,9.12166,37.745098,5684.846191,sanitizer
5,804843,31.40447,9.120749,37.855686,6661.115723,sanitizer
6,804898,31.218817,9.117852,38.557785,5684.846191,sanitizer
7,804953,31.118183,9.118842,38.119377,9288.824219,sanitizer
0,807568,30.680689,9.117797,39.129086,5684.846191,sanitizer
1,807622,30.63129,9.117878,39.816887,6788.290039,sanitizer
2,807677,30.888271,9.119813,38.502754,5684.846191,sanitizer
3,807732,30.975769,9.119822,38.80611,5684.846191,sanitizer
4,807788,31.667353,9.122077,37.767933,5684.846191,sanitizer
5,807843,31.417099,9.120802,37.886719,5684.846191,sanitizer
6,807898,31.2616,9.118087,38.43232,5684.846191,sanitizer
7,807953,31.159031,9.119007,38.017406,6359.300293,sanitizer
0,810568,30.705811,9.118078,39.825439,5684.846191,sanitizer
1,810622,30.646564,9.117916,40.570938,5684.846191,sanitizer
2,810677,30.923727,9.119941,39.242855,5684.846191,sanitizer
3,810732,30.995998,9.11994,39.521778,5684.846191,sanitizer
4,810788,31.664831,9.121772,37.685184,5684.846191,sanitizer
5,810843,31.45751,9.121008,37.90295,5684.846191,sanitizer
6,810898,31.254049,9.118115,38.118412,5684.846191,sanitizer
7,810953,31.182007,9.119172,37.707016,7057.785645,sanitizer
0,813568,30.700787,9.118127,39.712051,5928.121582,sanitizer
1,813622,30.656748,9.117912,40.506271,8196.72168,sanitizer
2,813677,30.941458,9.120104,39.066383,5684.846191,sanitizer
3,813732,31.008642,9.120126,39.387329,5684.846191,sanitizer
4,813788,31.69257,9.121657,37.217648,5789.759277,sanitizer
5,813843,31.497921,9.120896,37.379803,6498.78125,sanitizer
6,813898,31.296835,9.11812,37.504509,6875.805664,sanitizer
7,813953,31.227961,9.119288,37.005745,12711.022461,sanitizer
0,816568,30.693249,9.117893,38.740513,9216.589844,sanitizer
1,816622,30.646564,9.11781,39.419933,10652.463867,sanitizer
2,816677,30.92626,9.119995,38.063183,8606.77832,sanitizer
3,816732,31.013702,9.120095,38.322655,7324.330566,sanitizer
4,816788,31.69257,9.121423,36.46183,5684.846191,sanitizer
5,816843,31.490345,9.120667,36.623386,6059.458496,sanitizer
6,816898,31.301868,9.117758,36.877159,6087.12207,sanitizer
7,816953,31.240723,9.119177,36.344902,10641.835938,sanitizer
0,819568,30.723398,9.118053,38.702499,6132.617676,sanitizer
1,819622,30.669476,9.11791,39.428417,8184.143066,sanitizer
2,819677,30.946522,9.119796,38.029926,6566.796875,sanitizer
3,819732,31.033932,9.120036,38.313122,5684.846191,sanitizer
4,819788,31.750568,9.12163,36.737041,5684.846191,sanitizer
5,819843,31.523178,9.120831,36.915688,5684.846191,sanitizer
6,819898,31.327036,9.117764,36.926674,5684.846191,sanitizer
7,819953,31.266254,9.119308,36.523109,9280.742188,sanitizer
0,822568,30.746008,9.117263,39.207291,5684.846191,sanitizer
1,822622,30.692389,9.117043,39.734371,8423.269531,sanitizer
2,822677,30.954121,9.119125,38.355953,5981.308594,sanitizer
3,822732,31.059219,9.119589,38.50956,6143.213867,sanitizer
4,822789,31.768223,9.121281,36.610123,5684.846191,sanitizer
5,822843,31.543385,9.120494,36.823441,5684.846191,sanitizer
6,822898,31.347168,9.117732,36.729721,6385.950684,sanitizer
7,822953,31.28157,9.119109,36.366703,10814.463867,sanitizer
0,825568,30.793743,9.117786,39.574043,5684.846191,sanitizer
1,825622,30.710211,9.117261,40.004547,6562.756348,sanitizer
2,825677,30.976913,9.119395,38.767368,5684.846191,sanitizer
3,825732,31.061749,9.119892,38.750824,5684.846191,sanitizer
4,825788,31.768223,9.121441,36.615974,5684.846191,sanitizer
5,825843,31.568644,9.120804,36.979515,5684.846191,sanitizer
6,825898,31.314449,9.117542,36.509933,5684.846191,sanitizer
7,825953,31.273914,9.119102,36.231434,6741.099609,sanitizer
0,828568,30.823893,9.117965,39.802994,5684.846191,sanitizer
1,828623,30.728031,9.117354,40.030403,6042.295898,sanitizer
2,828677,31.035166,9.119905,39.320679,5684.846191,sanitizer
3,828732,31.109798,9.120082,39.156597,5684.846191,sanitizer
4,828788,31.803524,9.12142,37.346992,5684.846191,sanitizer
5,828843,31.604,9.12072,37.847519,5684.846191,sanitizer
6,828898,31.359751,9.117902,37.088402,5684.846191,sanitizer
7,828953,31.29689,9.118876,37.071762,5684.846191,sanitizer
0,831568,30.836452,9.118044,40.220806,5684.846191,sanitizer
1,831622,30.72294,9.117331,40.304489,6389.776367,sanitizer
2,831677,31.042765,9.120031,40.079529,5684.846191,sanitizer
3,831732,31.109798,9.120296,39.771042,5684.846191,sanitizer
4,831788,31.785873,9.121377,37.95174,5684.846191,sanitizer
5,831843,31.583796,9.120777,38.445923,5684.846191,sanitizer
6,831898,31.362268,9.117816,37.676239,5684.846191,sanitizer
7,831953,31.319866,9.11913,37.680523,6558.721191,sanitizer
0,834568,30.838964,9.11808,39.679962,6640.381836,sanitizer
1,834622,30.725485,9.117298,39.607094,11259.676758,sanitizer
2,834677,31.052893,9.12014,39.477547,5684.846191,sanitizer
3,834732,31.114857,9.120265,39.02747,6083.650391,sanitizer
4,834788,31.818655,9.121697,37.436817,5684.846191,sanitizer
5,834843,31.616632,9.120902,37.96764,5684.846191,sanitizer
6,834898,31.402533,9.117838,37.509926,5684.846191,sanitizer
7,834953,31.330078,9.11889,37.445877,5684.846191,sanitizer
0,837568,30.83143,9.117706,39.145695,5684.846191,sanitizer
1,837622,30.735668,9.117364,39.35849,8510.638672,sanitizer
2,837677,31.070623,9.120067,39.074677,5684.846191,sanitizer
3,837732,31.114857,9.120121,38.891998,5684.846191,sanitizer
4,837788,31.833786,9.121739,37.762291,5684.846191,sanitizer
5,837844,31.651989,9.120989,38.125999,5684.846191,sanitizer
6,837898,31.40505,9.117701,37.916477,5684.846191,sanitizer
7,837953,31.363266,9.119277,37.667488,6554.690918,sanitizer
0,840568,30.88419,9.118303,39.15152,5684.846191,sanitizer
1,840622,30.781494,9.117637,39.619278,5684.846191,sanitizer
2,840677,31.101017,9.120031,38.911606,5684.846191,sanitizer
3,840732,31.160376,9.120363,38.914669,5684.846191,sanitizer
4,840788,31.836308,9.121776,37.456364,5684.846191,sanitizer
5,840843,31.649466,9.121013,37.710022,5684.846191,sanitizer
6,840898,31.394983,9.117866,37.52676,5684.846191,sanitizer
7,840953,31.335184,9.11909,37.111084,8171.603516,sanitizer
0,843568,30.914337,9.118131,39.890373,5684.846191,sanitizer
1,843622,30.81459,9.117539,40.261051,5684.846191,sanitizer
2,843678,31.12381,9.120121,39.473511,5684.846191,sanitizer
3,843732,31.180607,9.120446,39.412331,5684.846191,sanitizer
4,843788,31.841351,9.121743,37.59227,5684.846191,sanitizer
5,843843,31.667145,9.120978,38.032524,5684.846191,sanitizer
6,843898,31.400019,9.11815,37.550827,5684.846191,sanitizer
7,843953,31.350504,9.119124,37.4245,5684.846191,sanitizer
0,846568,30.936947,9.118145,40.29768,5684.846191,sanitizer
1,846622,30.8375,9.117904,40.760323,5684.846191,sanitizer
2,846677,31.14407,9.119958,39.989239,5684.846191,sanitizer
3,846732,31.21348,9.120681,40.090809,5684.846191,sanitizer
4,846788,31.874134,9.121812,38.049843,5684.846191,sanitizer
5,846843,31.697454,9.121111,38.351116,5684.846191,sanitizer
6,846898,31.422668,9.117646,37.894802,5684.846191,sanitizer
7,846953,31.393902,9.119378,37.759262,5684.846191,sanitizer
0,849568,30.952023,9.118402,40.502151,5684.846191,sanitizer
1,849622,30.852777,9.117607,40.893967,5684.846191,sanitizer
2,849677,31.179529,9.120411,40.190704,5684.846191,sanitizer
3,849732,31.233713,9.120623,40.30677,5684.846191,sanitizer
4,849788,31.891785,9.121837,37.998623,5684.846191,sanitizer
5,849843,31.722712,9.121159,38.21101,5684.846191,sanitizer
6,849898,31.440283,9.118065,37.708164,5684.846191,sanitizer
7,849953,31.414328,9.119576,37.413647,6062.902832,sanitizer
0,852568,30.957047,9.118353,40.246323,5684.846191,sanitizer
1,852622,30.87569,9.117797,40.608913,5974.60791,sanitizer
2,852677,31.182062,9.120248,40.107185,5684.846191,sanitizer
3,852732,31.241299,9.120751,40.171078,5684.846191,sanitizer
4,852789,31.937176,9.122235,38.25761,5684.846191,sanitizer
5,852843,31.753021,9.12114,38.500179,5684.846191,sanitizer
6,852898,31.49062,9.118027,37.849079,5684.846191,sanitizer
7,852953,31.43475,9.119329,37.598492,5684.846191,sanitizer
0,855568,30.964584,9.118376,39.545586,5684.846191,sanitizer
1,855622,30.847683,9.117353,40.091587,6920.415039,sanitizer
2,855677,31.194723,9.12052,39.350285,5684.846191,sanitizer
3,855732,31.253942,9.120866,39.556419,5684.846191,sanitizer
4,855788,31.959873,9.12237,38.171406,5684.846191,sanitizer
5,855843,31.773228,9.121365,38.329609,5684.846191,sanitizer
6,855898,31.540951,9.118232,38.149509,5684.846191,sanitizer
7,855953,31.498575,9.119534,37.876812,5684.846191,sanitizer
0,858568,30.974634,9.118435,38.771294,6724.101562,sanitizer
1,858623,30.865505,9.117307,39.337212,9512.485352,sanitizer
2,858677,31.204855,9.120429,38.661797,5712.245605,sanitizer
3,858732,31.251413,9.120934,38.92469,5684.846191,sanitizer
4,858788,31.982569,9.122237,38.303967,5684.846191,sanitizer
5,858843,31.798483,9.121392,38.421719,5684.846191,sanitizer
6,858898,31.573666,9.118281,38.620289,5684.846191,sanitizer
7,858953,31.534317,9.119568,38.401329,5684.846191,sanitizer
0,861568,30.969608,9.118326,38.983471,5684.846191,sanitizer
1,861622,30.888418,9.117459,39.500275,5684.846191,sanitizer
2,861677,31.187124,9.120084,38.855736,5684.846191,sanitizer
3,861732,31.274174,9.120877,38.997894,5684.846191,sanitizer
4,861788,32.002739,9.122336,38.3535,5684.846191,sanitizer
5,861843,31.821217,9.121499,38.489758,5684.846191,sanitizer
6,861898,31.578701,9.11832,38.68008,5684.846191,sanitizer
7,861953,31.534317,9.119461,38.430965,5684.846191,sanitizer
0,864568,30.972122,9.118645,39.2915,5684.846191,sanitizer
1,864622,30.901148,9.117705,39.799374,7057.785645,sanitizer
